"Size","Time","Standard Deviation","Standard Error","90%-CL","95%-CL"
"64","0.006358504295349121","8.93487475833e-05","3.99579746601e-05","0.00627798704354 - 0.00643902154716","0.00625578905146 - 0.00646121953924"
"65","0.0065165360768636065","2.92221391723e-05","1.30685379274e-05","0.00649020234078 - 0.00654286981295","0.00648294233064 - 0.00655012982309"
"66","0.006728450457255046","6.62436796377e-05","2.96250741499e-05","0.0066687544998 - 0.00678814641471","0.00665229677974 - 0.00680460413477"
"67","0.007477879524230957","0.000566053655446","0.000253146890498","0.00696777629449 - 0.00798798275397","0.00682714472552 - 0.00812861432294"
"68","0.009361187616984049","0.00031794118492","0.000142187620466","0.00907467268375 - 0.00964770255022","0.00899568270242 - 0.00972669253154"
"69","0.008918126424153646","0.00025492152075","0.000114004369865","0.00868840210418 - 0.00914785074413","0.00862506886168 - 0.00921118398662"
"70","0.009154001871744791","0.000284155796097","0.000127078335255","0.00889793287909 - 0.0094100708644","0.00882733661131 - 0.00948066713218"
"71","0.008148113886515299","0.000507529256548","0.000226973983642","0.00769075033014 - 0.00860547744289","0.00756465868678 - 0.00873156908625"
"72","0.00805354118347168","0.000116145907109","5.19420287208e-05","0.00794887548302 - 0.00815820688392","0.00792001994788 - 0.00818706241906"
"73","0.008405804634094238","0.000283343864026","0.000126715228194","0.00815046731973 - 0.00866114194846","0.00808007277008 - 0.00873153649811"
"74","0.00848082701365153","0.000104913513955","4.69187497924e-05","0.00838628346323 - 0.00857537056407","0.00836021852764 - 0.00860143549966"
"75","0.009213129679361979","0.000559655687559","0.000250285632275","0.00870879202334 - 0.00971746733538","0.00856974997907 - 0.00985650937965"
"76","0.008920550346374512","0.000152116331843","6.80284916978e-05","0.00878346964488 - 0.00905763104787","0.00874567754124 - 0.00909542315151"
"77","0.009374459584554037","0.000205487894372","9.18969800739e-05","0.0091892827244 - 0.00955963644471","0.00913823087674 - 0.00961068829237"
"78","0.009543577829996744","0.000115469744103","5.16396394319e-05","0.00943952145859 - 0.0096476342014","0.00941083391082 - 0.00967632174917"
"79","0.009641289710998535","7.02821077886e-05","3.14311141235e-05","0.00957795449563 - 0.00970462492636","0.00956049345993 - 0.00972208596207"
"80","0.009915630022684732","0.00011340276534","5.07152584273e-05","0.00981343632372 - 0.0100178237216","0.00978526230053 - 0.0100459977448"
"81","0.010176698366800943","0.000122155298439","5.46295102241e-05","0.0100666172611 - 0.0102867794725","0.0100362687401 - 0.0103171279935"
"82","0.011204799016316732","0.000735447142413","0.000328901960859","0.0105420456553 - 0.0118675523773","0.0103593296097 - 0.0120502684229"
"83","0.011986653010050455","0.000422143365822","0.000188788252446","0.0116062355492 - 0.0123670704709","0.0115013573573 - 0.0124719486628"
"84","0.01154633363087972","0.000413971542045","0.000185133701753","0.0111732802664 - 0.0119193869953","0.0110704322998 - 0.012022234962"
"85","0.012331008911132812","0.000237456526474","0.00010619378698","0.0121170232935 - 0.0125449945288","0.0120580290912 - 0.0126039887311"
"86","0.013096133867899576","0.000433168710012","0.000193718936263","0.0127057808406 - 0.0134864868952","0.0125981634889 - 0.0135941042469"
"87","0.012318809827168783","0.000389368938622","0.000174131083017","0.0119679272717 - 0.0126696923826","0.011871191628 - 0.0127664280264"
"88","0.012403170267740885","0.000179482358645","8.02669509384e-05","0.0122414284789 - 0.0125649120566","0.0121968375016 - 0.0126095030339"
"89","0.012853622436523438","0.000285871432461","0.000127845591162","0.0125960073861 - 0.0131112374869","0.012524984882 - 0.0131822599911"
"90","0.013022859891255697","0.0002474643747","0.000110669432768","0.0127998556309 - 0.0132458641517","0.0127383750575 - 0.013307344725"
"91","0.012959917386372885","0.00027319441701","0.000122176257502","0.0127137263175 - 0.0132061084552","0.012645853318 - 0.0132739814548"
"92","0.01409304141998291","0.00033085503369","0.000147962869206","0.0137948890812 - 0.0143911937588","0.0137126907559 - 0.0144733920841"
"93","0.014252146085103353","0.00040369406245","0.00018053747315","0.0138883543436 - 0.0146159378266","0.0137880597358 - 0.0147162324344"
"94","0.014008720715840658","8.32186058148e-05","3.72164919189e-05","0.0139337276844 - 0.0140837137473","0.0139130526777 - 0.014104388754"
"95","0.014559586842854818","0.000310410236756","0.00013881967806","0.0142798584765 - 0.0148393152092","0.0142027394999 - 0.0149164341858"
"96","0.014770865440368652","0.000173974989056","7.78039803828e-05","0.0146140866563 - 0.0149276442244","0.0145708639416 - 0.0149708669392"
"97","0.014678120613098145","0.000236901133239","0.000105945407574","0.014464635492 - 0.0148916057342","0.0144057792727 - 0.0149504619535"
"98","0.015958229700724285","0.00219004274983","0.00097941689245","0.0139846572854 - 0.017931802116","0.0134405584265 - 0.0184759009749"
"99","0.015207727750142416","0.000239289260209","0.000107013410423","0.0149920905516 - 0.0154233649487","0.014932641021 - 0.0154828144792"
"100","0.015421708424886068","0.000161046803887","7.20223202102e-05","0.0152765799658 - 0.015566836884","0.0152365691567 - 0.015606847693"
"101","0.01605224609375","0.000451292174203","0.000201823995846","0.0156455609794 - 0.0164589312081","0.0155334409958 - 0.0165710511917"
"102","0.016213854153951008","0.000170120325397","7.60801223884e-05","0.0160605490271 - 0.0163671592808","0.0160182839732 - 0.0164094243347"
"103","0.01669653256734212","7.59642484104e-05","3.39722446611e-05","0.016628076851 - 0.0167649882837","0.0166092041323 - 0.0167838610024"
"104","0.01692787806193034","0.000208646257453","9.33094429834e-05","0.0167398550207 - 0.0171159011032","0.0166880185026 - 0.0171677376212"
