"Size","Time","Standard Deviation","Standard Error","90%-CL","95%-CL"
"78","0.00951040506362915","0.000460041496425","4.62359100496e-05","0.00943363536749 - 0.00958717475976","0.00941866298714 - 0.00960214714012"
"79","0.009749512672424316","0.000596967883447","5.99975297359e-05","0.00964989330467 - 0.00984913204018","0.00963046455687 - 0.00986856078798"
"80","0.010253665447235107","0.000673859702013","6.77254482703e-05","0.0101412147119 - 0.0103661161826","0.0101192834647 - 0.0103880474297"
"81","0.010295498371124267","0.000709221477336","7.12794404117e-05","0.0101771466187 - 0.0104138501236","0.0101540644972 - 0.0104369322451"
"82","0.010440518856048584","0.000685000063449","6.88450967221e-05","0.0103262090663 - 0.0105548286458","0.0103039152481 - 0.010577122464"
"83","0.010423414707183838","0.000793322423987","7.973190358e-05","0.0102910285596 - 0.0105558008547","0.0102652093125 - 0.0105816201018"
"84","0.011284160614013671","0.00108500904576","0.000109047512089","0.0111030990894 - 0.0114652221387","0.011067786692 - 0.011500534536"
"85","0.011312730312347412","0.000691829923269","6.95315234613e-05","0.0111972807857 - 0.011428179839","0.0111747646848 - 0.0114506959399"
"86","0.011211912631988525","0.000564513918065","5.67357834895e-05","0.0111177090389 - 0.0113061162251","0.0110993365286 - 0.0113244887353"
"87","0.011554789543151856","0.000690730655525","6.94210428961e-05","0.0114395234575 - 0.0116700556288","0.011417043133 - 0.0116925359533"
"88","0.012123639583587647","0.00126374557092","0.000127011208764","0.0119127512958 - 0.0123345278713","0.0118716217901 - 0.012375657377"
"89","0.012717354297637939","0.00108838000218","0.000109386305956","0.0125357302426 - 0.0128989783526","0.0125003081351 - 0.0129344004602"
"90","0.013048758506774902","0.00140447192436","0.000141154739445","0.0128143864258 - 0.0132831305878","0.01276867688 - 0.0133288401336"
"91","0.0130617356300354","0.000809227551178","8.13304290083e-05","0.012926695305 - 0.0131967759551","0.0129003584141 - 0.0132231128459"
"92","0.013719692230224609","0.00120428484393","0.000121035180849","0.0135187264864 - 0.0139206579741","0.0134795321727 - 0.0139598522878"
"93","0.015276370048522949","0.00321006769194","0.000322623941994","0.0147406881085 - 0.0158120519885","0.0146362141539 - 0.0159165259432"
"94","0.015592598915100097","0.00277875980507","0.000279275868362","0.0151288917332 - 0.016056306097","0.0150384550029 - 0.0161467428273"
"95","0.015105905532836915","0.00317666065876","0.00031926640883","0.0145757984112 - 0.0156360126545","0.0144724117124 - 0.0157393993533"
"96","0.014440033435821533","0.000655312008215","6.5861334905e-05","0.0143306778578 - 0.0145493890138","0.0143093502587 - 0.014570716613"
"97","0.014930822849273682","0.000815280038125","8.19387268341e-05","0.0147947725119 - 0.0150668731866","0.0147682386385 - 0.01509340706"
"98","0.015286877155303955","0.000808725449565","8.12799658975e-05","0.0151519206188 - 0.0154218336918","0.0151256000692 - 0.0154481542415"
"99","0.01527597665786743","0.00058920307199","5.92171368217e-05","0.0151776530476 - 0.0153743002681","0.0151584770112 - 0.0153934763046"
"100","0.015624098777770996","0.00043543316557","4.37626797415e-05","0.0155514356114 - 0.0156967619442","0.0155372641268 - 0.0157109334288"
"101","0.016832914352416992","0.0014110729313","0.000141818165604","0.0165974407245 - 0.0170683879803","0.0165515163442 - 0.0171143123606"
"102","0.01650099754333496","0.000598154658822","6.0116805149e-05","0.0164011801317 - 0.0166008149549","0.0163817127595 - 0.0166202823272"
"103","0.01596557140350342","0.000749253696695","7.53028298401e-05","0.0158405392508 - 0.0160906035562","0.015816154252 - 0.016114988555"
"104","0.015754783153533937","0.000580791609198","5.8371753003e-05","0.0156578632111 - 0.015851703096","0.0156389609317 - 0.0158706053753"
"105","0.016333487033843994","0.000908232173272","9.12807679173e-05","0.0161819252541 - 0.0164850488136","0.0161523661868 - 0.0165146078809"
"106","0.0173582124710083","0.000985659446572","9.90625016772e-05","0.0171937299693 - 0.0175226949727","0.0171616509759 - 0.0175547739661"
"107","0.017971057891845704","0.00059549726046","5.98497265645e-05","0.0178716839352 - 0.0180704318485","0.0178523030499 - 0.0180898127338"
"108","0.01996867895126343","0.00322230500783","0.000323853838516","0.019430954902 - 0.0205064030006","0.0193260826751 - 0.0206112752275"
"109","0.018920011520385742","0.00102817424418","0.000103335399607","0.0187484343368 - 0.019091588704","0.0187149716688 - 0.019125051372"
"110","0.019406898021697996","0.000715393813042","7.1899783491e-05","0.0192875162571 - 0.0195262797863","0.0192642332525 - 0.0195495627909"
"111","0.01959228515625","0.00128494543356","0.000129141875127","0.0193778591289 - 0.0198067111836","0.0193360396585 - 0.019848530654"
"112","0.019133100509643553","0.00125033704795","0.000125663601501","0.0189244497771 - 0.0193417512422","0.0188837566614 - 0.0193824443579"
"113","0.01896697998046875","0.000826917849702","8.31083709064e-05","0.0188289875764 - 0.0191049723845","0.0188020749421 - 0.0191318850188"
"114","0.018753342628479004","0.000778809951246","7.82733451903e-05","0.0186233782584 - 0.0188833069986","0.0185980313301 - 0.0189086539269"
"115","0.020636091232299803","0.000948093030709","9.52869348247e-05","0.0204778776484 - 0.0207943048162","0.020447021281 - 0.0208251611836"
"116","0.02123927593231201","0.000991191818995","9.96185260266e-05","0.0210738702127 - 0.0214046816519","0.0210416111643 - 0.0214369407003"
"117","0.021414978504180907","0.00118642022425","0.000119239719016","0.0212169939293 - 0.0216129630791","0.0211783810324 - 0.0216515759759"
"118","0.021376287937164305","0.00036585608282","3.67699198176e-05","0.0213152354875 - 0.0214373403868","0.021303328439 - 0.0214492474354"
"119","0.021387197971343995","0.000706285700285","7.09843837163e-05","0.0212693361284 - 0.0215050598143","0.0212463495539 - 0.0215280463888"
"120","0.020984077453613283","0.000951833644999","9.5662880706e-05","0.0208252396525 - 0.0211429152547","0.0207942615441 - 0.0211738933631"
